press,hght,temp,dwpt,wdir,wspd
  177.00,  12405.59,    -49.70,    -61.70,  -9999.00,  -9999.00
  166.52,  12802.00,    -51.96,    -65.03,    270.00,     54.00
  158.00,  13143.16,    -53.90,    -67.90,  -9999.00,  -9999.00
  155.00,  13267.00,    -52.10,    -67.10,  -9999.00,  -9999.00
  152.00,  13393.77,    -52.10,    -67.10,  -9999.00,  -9999.00
  151.60,  13411.00,    -51.78,    -66.98,    265.00,     62.01
  150.00,  13480.00,    -50.50,    -66.50,    270.00,     61.00
  144.66,  13716.00,    -50.10,    -66.76,    280.00,     46.00
  142.00,  13836.80,    -49.90,    -66.90,  -9999.00,  -9999.00
  131.71,  14326.00,    -50.77,    -68.49,    275.00,     42.00
  128.00,  14511.60,    -51.10,    -69.10,  -9999.00,  -9999.00
  120.00,  14927.40,    -53.90,    -71.90,  -9999.00,  -9999.00
  119.86,  14935.00,    -53.92,    -71.94,    275.00,     56.00
  114.26,  15240.00,    -54.78,    -73.41,    275.00,     48.00
  111.00,  15424.90,    -55.30,    -74.30,  -9999.00,  -9999.00
  108.00,  15599.75,    -53.90,    -73.90,  -9999.00,  -9999.00
  106.00,  15719.36,    -54.10,    -74.10,  -9999.00,  -9999.00
  100.00,  16090.00,    -56.50,    -76.50,    280.00,     42.00
   89.86,  16764.00,    -59.08,    -79.08,    285.00,     29.00
   89.80,  16768.18,    -59.10,    -79.10,  -9999.00,  -9999.00
   86.30,  17017.15,    -59.30,    -79.30,  -9999.00,  -9999.00
   85.59,  17069.00,    -58.78,    -79.13,    260.00,     29.00
   82.30,  17316.31,    -56.30,    -78.30,  -9999.00,  -9999.00
   81.55,  17374.00,    -56.77,    -78.51,    275.00,     29.00
   79.50,  17535.12,    -58.10,    -79.10,  -9999.00,  -9999.00
   70.60,  18281.09,    -58.90,    -80.90,  -9999.00,  -9999.00
